,logFC,logCPM,F,PValue,FDR,neg_signed_logpval
ENSG00000149451,-3.27957656809265,4.10593864043786,358.605936187641,5.05197048164673e-37,6.316488446910121e-35,-36.29653919566528
ENSG00000138640,-2.1338306780209,5.95951909198535,358.598213016412,5.05669673393029e-37,6.316488446910121e-35,-36.296133091597824
ENSG00000167900,2.86860828608757,5.09560190646128,358.373516739638,5.19618886585545e-37,6.44774773374395e-35,36.28431507201237
ENSG00000143195,2.47148565604641,0.470803501319609,358.268794233875,5.2625324936452304e-37,6.487109956146751e-35,36.2788052095853
ENSG00000094804,2.58063480458248,3.96502808164237,357.764792854765,5.59408986837796e-37,6.85074914142469e-35,36.25227056102006
ENSG00000184271,-1.28935214398949,3.7203607275145,357.663233051699,5.66343341440581e-37,6.890633239332571e-35,-36.24692020117019
ENSG00000267365,-2.24752813887563,0.258281024189967,357.377922977206,5.86295623108571e-37,7.0582979299121e-35,-36.23188334795556
ENSG00000272501,-1.56522715288993,1.36055543333725,357.358805685952,5.8765783053118904e-37,7.0582979299121e-35,-36.2308754725061
ENSG00000163239,-2.51581465446581,0.927511529610667,356.630151142344,6.42052065608386e-37,7.662502900193841e-35,-36.19242975247699
ENSG00000003096,-2.93265791450341,4.83628499817659,356.557606344843,6.47740674104918e-37,7.681466462470791e-35,-36.1885988310846
ENSG00000148773,3.42599198145009,6.01806733164174,356.382879307024,6.61653369550873e-37,7.79710640583315e-35,36.17936947146241
ENSG00000113594,-2.50897660402542,6.92246811479464,356.224662285479,6.74513693146995e-37,7.89897691780953e-35,-36.17100922939042
ENSG00000104147,2.38360597422601,1.01653847829561,355.738803641146,7.1561817081928604e-37,8.296766495520331e-35,36.14531864045464
ENSG00000163545,2.08589093471243,2.76119711956825,355.719099238638,7.1733797954544104e-37,8.296766495520331e-35,36.144276174782355
ENSG00000143799,1.21866798158365,7.75448339126877,355.064589531314,7.76919026325164e-37,8.93075570322368e-35,36.10962424278556
ENSG00000154263,-3.92018778896471,3.52758425416315,354.772781835203,8.05083024910265e-37,9.19807355959978e-35,-36.094159330313985
ENSG00000111665,2.61974111104218,2.95701301666187,353.999341777223,8.848657603754499e-37,1.0048321061912e-34,36.053122609471856
ENSG00000153187,0.67519883920579,8.98516603177944,353.765841771198,9.10499405297374e-37,1.0277124913889699e-34,36.04072033353315
ENSG00000172987,-4.3720044518623,2.40060912013578,353.710328658683,9.16704030901233e-37,1.02851996568841e-34,-36.0377708589801
